State,District,A.1-total,A.1-rural,A.1-urban,A.2-total,A.2-rural,A.2-urban,A.3-total,A.3-rural,A.3-urban,A.4-total,A.4-rural,A.4-urban,A.5-total,A.5-rural,A.5-urban,A.6-total,A.6-rural,A.6-urban,A.7-total,A.7-rural,A.7-urban,A.8-total,A.8-rural,A.8-urban,A.9-total,A.9-rural,A.9-urban,A.10-total,A.10-rural,A.10-urban,A.11-total,A.11-rural,A.11-urban,A.12-total,A.12-rural,A.12-urban,A.13-total,A.13-rural,A.13-urban,A.14-total,A.14-rural,A.14-urban,A.15-total,A.15-rural,A.15-urban,A.16-total,A.16-rural,A.16-urban,A.17-total,A.17-rural,A.17-urban,A.18-total,A.18-rural,A.18-urban,A.19-total,A.19-rural,A.19-urban,A.20-total,A.20-rural,A.20-urban,A.21-total,A.21-rural,A.21-urban,A.22-total,A.22-nan,A.23-total,A.23-nan,A.24-total,A.24-nan,A.25-total,A.25-nan,B.1-total,B.1-male,B.1-female,B.2-primary,B.2-upper,B.3-primary,B.3-upper,B.4-primary,B.4-upper,B.5-primary,B.5-upper,B.6-primary,B.6-upper,B.7-primary,B.7-upper,B.8-primary,B.8-upper,B.9-primary,B.9-upper,B.10-primary,B.10-upper,B.11-primary,B.11-upper,B.12-primary,B.12-upper,B.13-primary,B.13-upper,C.1-total,C.1-rural,C.1-urban,C.2-total,C.2-rural,C.2-urban,C.3-ptotal,C.3-ntotal,C.3-prural,C.3-nrural,C.3-purban,C.3-nurban,C.4-ptotal,C.4-ntotal,C.4-prural,C.4-nrural,C.4-purban,C.4-nurban,C.5-ptotal,C.5-ntotal,C.5-prural,C.5-nrural,C.5-purban,C.5-nurban,D.1-total,D.1-rural,D.1-urban,D.2-total,D.2-rural,D.2-urban,D.3-ptotal,D.3-ntotal,D.3-prural,D.3-nrural,D.3-purban,D.3-nurban,D.4-ptotal,D.4-ntotal,D.4-prural,D.4-nrural,D.4-purban,D.4-nurban,D.5-ptotal,D.5-ntotal,D.5-prural,D.5-nrural,D.5-purban,D.5-nurban,E.1-total,E.1-rural,E.1-urban,E.2-total,E.2-rural,E.2-urban,E.3-total,E.3-rural,E.3-urban
Chhattisgarh.xlsx,19. Mahasamund,1017,1020,993,Not available,Not available,Not available,Not available,Not available,Not available,72.5,73.4,64.1,68.3,69.1,59.9,23.6,24.1,19.3,49.5,47.6,67.7,51.5,50.4,68.5,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,21.2,21.1,22.2,23.6,23.5,24.8,2,2.2,0,9.8,10.3,5.2,Not available,Not applicable,Not available,Not applicable,Not available,Not applicable,Not available,Not applicable,71.02,82.05,60.25,116.1,104.6,100,"
77.4",2.6,5.69,23,30,22,33,49.9,50.6,35.5,25.3,12,49.6,97.1,97,89.4,95.6,97.2,95.8,81.2,88.6,Not available,Not available,Not available,256504,230027,26477,82.83964382621714,212487,81.7073647876119,187949,92.6766627639083,24538,0.07329320400461592,188,0.07694748877305707,177,0.04154549231408392,11,0.34346442940460964,881,0.3560451599160099,819,0.23416550213392756,62,Not available,Not available,Not available,256504,230027,26477,11.418535383463805,29289,7.310446165015411,16816,47.10881142123352,12473,1.748510744471821,4485,0.8020797558547476,1845,9.970918155380142,2640,2.411658297726351,6186,1.0663965534480735,2453,14.099029346225025,3733,0.86,0.72,2.1,23.95,21.02,49.38,0.37,0.2,1.93
Chhattisgarh.xlsx,20. Mungeli,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable,Not available,Not applicable,Not available,Not applicable,Not available,Not applicable,Not available,Not available,Not available,0,0,0,0,Not available,Not available,34,33,34,41,50.2,50.7,30.9,25.9,8.7,62.8,98.6,98.6,61.2,66.2,93.7,86.8,33.2,56.1,Not available,Not available,Not available,Not available,Not available,Not available,,Not available,,Not available,,Not available,,Not available,,Not available,,Not available,,Not available,,Not available,,Not available,Not available,Not available,Not available,Not available,Not available,Not available,,Not available,,Not available,,Not available,,Not available,,Not available,,Not available,,Not available,,Not available,,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Chhattisgarh.xlsx,21. Narayanpur,994,1007,930,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable,Not available,Not applicable,Not available,Not applicable,Not available,Not applicable,48.62,57.31,39.88,106.7,65.2,91.3,42.4,18.5,11.38,18,14,15,19,46.1,45.5,26.4,24.5,25.2,67.4,97.2,99.1,89,92.2,90.8,96.9,7.6,24.8,Not available,Not available,Not available,26953,22516,4437,34.56387044113828,9316,24.546988807958787,5527,85.39553752535497,3789,0.7420324268170518,200,0.8749333807070528,197,0.0676132521974307,3,1.6250510147293438,438,1.736542902824658,391,1.0592742844264142,47,Not available,Not available,Not available,26953,22516,4437,8.789374095647979,2369,1.8120447681648606,408,44.1965291863872,1961,1.2095128557117945,326,0.09770829632261503,22,6.851476222672977,304,5.917708603865989,1595,0.20874045123467755,47,34.88843813387424,1548,0.67,0.39,2.07,13.4,5.47,53.64,0.32,0.1,1.44
Chhattisgarh.xlsx,22. Raigarh,991,1000,948,Not available,Not available,Not available,Not available,Not available,Not available,61.2,61.5,59.4,60.1,60.4,57.7,22.4,21.8,27,42.2,37.3,77.2,46.6,45.7,64.9,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,1.4,1.3,2.4,10.7,11.7,5.6,21.2,21,22.4,24,23.6,25.8,Not available,Not applicable,Not available,Not applicable,Not available,Not applicable,Not available,Not applicable,73.26,83.49,63.02,100.4,96.8,90.5,73.4,6.1,8.03,17,20,20,24,50.5,50.5,35.3,26,22.8,51.3,99.1,99.5,53.4,68.5,95.5,92.2,54.5,60.8,Not available,Not available,Not available,361664,309691,51973,82.20558308264025,297308,79.96389949982402,247641,95.56308083043119,49667,0.11668288798442752,422,0.11882812222505658,368,0.10390010197602602,54,0.14129136436029022,511,0.1436916151906255,445,0.12698901352625402,66,Not available,Not available,Not available,361664,309691,51973,15.932191205096444,57621,9.889212150175497,30626,51.940430608200415,26995,3.801594850468944,13749,1.0252154566971594,3175,20.345179227675906,10574,4.512752167757919,16321,1.984235899654817,6145,19.579396994593345,10176,1.46,1.11,3.5,23.82,18.82,53.59,0.92,0.47,3.65
Chhattisgarh.xlsx,23. Raipur,984,1003,953,Not available,Not available,Not available,Not available,Not available,Not available,61,59.3,65.2,59.7,58.4,62.9,26.8,27.5,25.1,34.5,26,59.8,50.7,51.8,44.8,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,21.3,21,22.2,24,23.5,25.5,3.6,4.2,2,10.8,12.7,5.4,Not available,Not applicable,Not available,Not applicable,Not available,Not applicable,Not available,Not applicable,75.56,85.24,65.75,57.5,76.3,53.5,65,3.7,5.76,27,34,28,42,49.8,52.2,55.1,51.2,21.2,45.8,94,94.8,79.4,85.2,97.8,95.9,93.5,93.4,Not available,Not available,Not available,861067,561916,299151,84.61083748419112,728556,78.65303710874934,441964,95.80178572025498,286592,0.6947194585322629,5982,1.0339623716000257,5810,0.057496047146758655,172,0.322506843253777,2777,0.3246036774179771,1824,0.3185682147143082,953,Not available,Not available,Not available,861067,561916,299151,24.113106181052114,207630,10.545348415065597,59256,49.59836336833238,148374,10.372015185810163,89310,1.3404138696887078,7532,27.336696183532734,81778,2.7304495468993704,23511,1.5879597662284042,8923,4.876467068470438,14588,2.18,1.14,4.15,34.33,23.58,54.54,2.35,0.32,6.17
Chhattisgarh.xlsx,24. Rajnandgaon,1015,1019,994,Not available,Not available,Not available,Not available,Not available,Not available,62.4,63.8,55.1,61.9,63.7,52.2,28.7,26.2,41.2,43.5,38.9,72.8,48,48.9,34.3,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,21.4,21.1,22.8,24.4,23.9,26.7,2.2,2.2,2.2,6.3,6.7,4.6,Not available,Not applicable,Not available,Not applicable,Not available,Not applicable,Not available,Not applicable,75.96,85.4,66.7,103,103.7,93.1,77.1,1.2,3.39,20,31,21,33,50.5,51.1,36.8,28,14.2,38.4,99.5,100,100,100,99.8,100,57.5,74.9,Not available,Not available,Not available,315535,256900,58635,87.31234252935491,275501,85.6041261191125,219917,94.7966231772832,55584,0.3505157906412918,1106,0.4223433242506812,1085,0.03581478639038117,21,0.21423930784223622,676,0.21525885558583108,553,0.20977232028651832,123,Not available,Not available,Not available,315535,256900,58635,17.17400605321121,54190,11.272090307512652,28958,43.03231858105227,25232,6.907949989700033,21797,1.7353055663682366,4458,29.57107529632472,17339,3.3286323228801873,10503,3.1848968470221872,8182,3.958386629146414,2321,2.31,2.12,3.15,27.71,22.93,48.65,0.67,0.22,2.65
Chhattisgarh.xlsx,25. Sukma,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable,Not available,Not applicable,Not available,Not applicable,Not available,Not applicable,Not available,Not available,Not available,0,0,0,0,14.9,9.14,17,8,14,9,47,46.1,28.1,26.6,30.7,70.1,82.5,73.8,54.2,54.4,85.9,86.8,15.1,22.2,Not available,Not available,Not available,Not available,Not available,Not available,,Not available,,Not available,,Not available,,Not available,,Not available,,Not available,,Not available,,Not available,,Not available,Not available,Not available,Not available,Not available,Not available,Not available,,Not available,,Not available,,Not available,,Not available,,Not available,,Not available,,Not available,,Not available,,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Chhattisgarh.xlsx,26. Surajpur,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable,Not available,Not applicable,Not available,Not applicable,Not available,Not applicable,Not available,Not available,Not available,0,0,0,0,Not available,3.04,20,22,21,25,50.5,52.2,33.2,31.1,27.5,70.3,86.4,92.1,32.6,40.8,94.3,95.4,12.1,19.1,Not available,Not available,Not available,Not available,Not available,Not available,,Not available,,Not available,,Not available,,Not available,,Not available,,Not available,,Not available,,Not available,,Not available,Not available,Not available,Not available,Not available,Not available,Not available,,Not available,,Not available,,Not available,,Not available,,Not available,,Not available,,Not available,,Not available,,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Chhattisgarh.xlsx,27. Surguja,978,982,940,Not available,Not available,Not available,Not available,Not available,Not available,46.5,44.8,66.9,44.2,42.6,63,26.6,27.1,20.7,32,29.2,76.7,24.9,25,20.8,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,20.5,20.3,22.9,22.7,22.4,25.7,8,8.7,1,21.9,23.3,7.5,Not available,Not applicable,Not available,Not applicable,Not available,Not applicable,Not available,Not applicable,60.1,69.53,50.32,35,31.9,31.1,23.4,1.8,2.9,17,14,21,26,49.6,51.4,37.3,35,22.1,59.8,92.5,96.6,46.6,49.8,95.4,93.2,14.2,20.1,Not available,Not available,Not available,520566,472991,47575,48.62611081015664,253131,44.27230116429276,209404,91.911718339464,43727,0.5912794919376217,3078,0.6441983039846424,3047,0.0651602732527588,31,0.3012106053795292,1568,0.3080396878587542,1457,0.233315817130846,111,Not available,Not available,Not available,520566,472991,47575,14.42007353534422,75066,10.250723586706725,48485,55.871781397792965,26581,2.9106779928001445,15152,0.3397527648517625,1607,28.470835522858646,13545,0.4950380931524533,2577,0.2490533646517587,1178,2.9406200735680503,1399,0.83,0.61,3.05,20.86,16.86,60.62,0.53,0.16,4.15
Dadra and Nagar Haveli.xlsx,1. Dadra and Nagar Haveli,774,863,682,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable,Not available,Not applicable,Not available,Not applicable,Not available,Not applicable,76.24,85.17,64.32,97,103.6,90,77.2,Not available,3.38,23,13,22,20,48.2,100,61,100,36.1,100,77.4,100,94.5,0,100,100,91.7,100,Not available,Not available,Not available,73063,35408,37655,95.20277021200882,69558,91.65160415725259,32452,98.54202629132918,37106,0.0273736364507343,20,0.05366018978761862,19,0.002655689815429558,1,0.32574627376373816,238,0.587437867148667,208,0.07967069446288673,30,Not available,Not available,Not available,73063,35408,37655,52.640871576584594,38461,32.58020786262991,11536,71.50444828044084,26925,17.905095602425305,13082,7.207410754631721,2552,27.964413756473245,10530,9.983165213582797,7294,10.325350203343877,3656,9.661399548532732,3638,2.33,1.35,3.26,57.26,36.53,76.75,2.76,0.67,4.71
Daman and Diu.xlsx,1. Daman,534,759,495,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable,Not available,Not applicable,Not available,Not applicable,Not available,Not applicable,88.07,91.61,80.98,96.4,94,81.3,72.2,Not available,Not available,31,18,32,18,47.6,48.9,83.7,71,3.6,0,100,100,100,100,100,100,100,100,Not available,Not available,Not available,49692,7340,42352,99.10850841181679,49249,97.86103542234332,7183,99.3247072157159,42066,0.01408677453111165,7,0.04087193460490463,3,0.009444654325651681,4,0.10061981807936891,50,0.32697547683923706,24,0.061390253116735925,26,Not available,Not available,Not available,49692,7340,42352,74.68405377123078,37112,66.71662125340599,4897,76.06488477521722,32215,35.033808258874664,17409,44.6866485013624,3280,33.36088024178315,14129,17.435402076793043,8664,9.591280653950953,704,18.794862108046846,7960,3.46,3.94,3.37,79.62,78.34,79.84,2.65,1.65,2.82
Daman and Diu.xlsx,2. Diu,1031,1002,1066,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable,Not available,Not applicable,Not available,Not applicable,Not available,Not applicable,83.46,91.21,76.06,89.9,94.3,78.8,77.5,4,1.58,26,21,30,35,54.1,55.9,64.3,36.1,21.1,8.3,100,100,100,100,100,100,100,100,Not available,Not available,Not available,10689,5410,5279,98.93348301992702,10575,98.8724584103512,5349,98.99602197385869,5226,0.009355412105903266,1,0.018484288354898334,1,,-,0.01871082421180653,2,0.018484288354898334,1,0.018942981625307824,1,Not available,Not available,Not available,10689,5410,5279,84.40452801945926,9022,80.60998151571165,4361,88.29323735555977,4661,83.81513705678735,8959,79.79667282809612,4317,87.93332070467892,4642,0.07484329684722613,8,0.11090573012939,6,0.03788596325061565,2,7.26,5.71,8.85,59,65.43,52.4,3.44,1.39,5.55
Goa.xlsx,1. North Goa,963,982,951,1.1,1,Not available,2.09,2.12,Not available,29.3,29.5,Not available,21.3,21.8,Not available,31.6,26.2,Not available,97.8,97.8,Not available,1.1,0,Not available,93.7,97.1,Not available,2.3,3.1,Not available,11.3,9.1,Not available,71.3,73.5,Not available,14,12.2,Not available,67.4,70,Not available,6.5,6.7,Not available,60.7,63.7,Not available,5.8,5.2,Not available,25.2,24.9,Not available,30.1,30.5,Not available,0,0,Not available,1.6,2.2,Not available,96,Not applicable,84,Not applicable,80,Not applicable,1,Not applicable,89.57,93.4,85.6,117,112.5,100,95.9,not available,0.3,20,17,20,25,47.6,43.8,91,67.6,0.6,0,98.3,100,82.6,85.7,99.8,100,99.4,100,98,97.4,Not Available,179085,71412,107673,97.13320490269983,173951,96.33114882652775,68792,97.66515282382771,105159,0.16807661166485188,301,0.14143281241247968,101,0.185747587603206,200,0.32889410056677,589,0.45510558449560296,325,0.24518681563623193,264,93.9,91.5,Not Available,179085,71412,107673,80.41991233213278,144020,74.43706940010082,53157,84.38791526195052,90863,71.49956724460452,128045,63.445919453313174,45308,76.84099077763229,82737,2.0459558310299575,3664,2.554192572676861,1824,1.7088778059494953,1840,11.28,11.41,11.19,55.38,54.02,56.27,13.09,6.6,17.39
Goa.xlsx,2. South Goa ,986,1034,961,2.9,0,Not available,2.03,2.01,Not available,30.4,31.8,Not available,26.9,26.9,Not available,33.4,28.9,Not available,96.2,97.8,Not available,1.9,1.1,Not available,83.3,78.3,Not available,1.4,1.7,Not available,9.8,8.7,Not available,73.9,61.3,Not available,18.2,12.9,Not available,55.2,40,Not available,3.4,0,Not available,66.3,62.4,Not available,8.1,4.7,Not available,25.8,25.5,Not available,29.2,29.3,Not available,0,0,Not available,2.2,2.1,Not available,92,Not applicable,80,Not applicable,42.8,Not applicable,1,Not applicable,87.59,91.67,83.47,115.3,110.2,100,92,0.4,not available,20,24,20,31,47.5,43.7,88.5,76.9,0,0,96.9,100,82.6,100,99.2,100,97.2,100,99.7,99.8,Not Available,143728,53262,90466,96.57825893354112,138810,94.65660320678909,50416,97.7096367696151,88394,0.19133363019035957,275,0.31542187676016675,168,0.11827647956138218,107,0.4758989201825671,684,0.8448800270361609,450,0.25866071231180776,234,98.8,98.1,Not Available,143728,53262,90466,78.84615384615384,113324,66.94266080883182,35655,85.85435412199058,77669,72.25036179450073,103844,56.41545567196125,30048,81.57318771693232,73796,1.9961315818768786,2869,3.27250197138673,1743,1.2446665045431433,1126,13.09,15.8,11.49,51.74,46.89,54.6,12.26,7.79,14.9
Gujarat.xlsx,1.Ahmadabad,"904
","933
","899
",Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable,Not available,Not applicable,Not available,Not applicable,Not available,Not applicable,"85.31
",90.74,79.35,"102.3
","86.7
","82.2
",63.8,Not available,1.7,35,35,31,26,50.7,48.6,82.8,57.1,13.6,11.2,100,100,100.3,100,100,100,100,100,Not available,Not available,Not available,1494656,228886,1265770,97.41679690845253,1456046,92.12839579528674,210869,98.37308515765108,1245177,0.041748736833090695,624,0.10092360389014618,231,0.03104829471388957,393,0.4356186306414319,6511,0.9694782555507983,2219,0.33908213972522655,4292,Not available,Not available,Not available,1494656,228886,1265770,86.0749898304359,1286525,59.876969320972016,137050,90.81231187340512,1149475,62.22836559047701,930100,15.863792455632936,36310,70.61235453518412,893790,14.157103708144215,211600,39.81676467761244,91135,9.517131864398745,120465,5.17,2.4,5.67,61.79,57.01,62.66,8.45,0.44,9.9
Gujarat.xlsx,2. Amreli,964,969,948,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable,Not available,Not applicable,Not available,Not applicable,Not available,Not applicable,74.25,82.21,66.09,100.4,90,81,65.2,0.2,4.83,19,35,15,31,50.9,68.1,65.6,73.5,20,0,100,100,101.3,100,100,100,100,100,Not available,Not available,Not available,294071,218891,75180,92.9472814388362,273331,91.73469900544107,200799,96.47778664538441,72532,0.11833876852868865,348,0.1461914834323933,320,0.037243947858472994,28,1.1269387324829718,3314,1.278718631647715,2799,0.6850226123969141,515,Not available,Not available,Not available,294071,218891,75180,64.96900408404773,191055,61.07834492966819,133695,76.29688747007182,57360,14.660405140255245,43112,10.165333430794323,22251,27.74807129555733,20861,38.96746023919393,114592,38.537445577936055,84355,40.219473264166,30237,3.22,3.12,3.51,67.43,67.05,68.54,0.86,0.51,1.88
Gujarat.xlsx,3. Anand,925,922,932,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable,Not available,Not applicable,Not available,Not applicable,Not available,Not applicable,84.37,91.82,76.36,105.4,97.5,88.7,"
75.2",27,47,27,46,44.4,36.8,51.7,48.4,51.7,48.4,7.2,25,100,100,99.3,100,100,100,100,100,Not available,Not available,Not available,427164,297069,130095,88.56317479937448,378310,86.33044848166588,256461,93.66155501748722,121849,0.06788961616615632,290,0.05587927383873781,166,0.09531496214304931,124,1.4661816070642657,6263,1.7376434431058105,5162,0.846304623544333,1101,Not available,Not available,Not available,427164,297069,130095,66.42062533359552,283725,59.74167617624189,177474,81.67185518275106,106251,30.860746692136974,131826,18.20553474108709,54083,59.758637918444215,77743,28.98605687745222,123818,36.2040468712656,107551,12.503939428878896,16267,5.15,4.7,6.17,43.9,39.48,53.99,2.32,0.83,5.72
Gujarat.xlsx,4. Aravalli,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable,Not available,Not applicable,Not available,Not applicable,Not available,Not applicable,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,,Not available,,Not available,,Not available,,Not available,,Not available,,Not available,,Not available,,Not available,,Not available,Not available,Not available,Not available,Not available,Not available,Not available,,Not available,,Not available,,Not available,,Not available,,Not available,,Not available,,Not available,,Not available,,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Gujarat.xlsx,5. Banas Kantha,938,941,915,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable,Not available,Not applicable,Not available,Not applicable,Not available,Not applicable,65.32,78.15,"
51.75",102.9,86.1,82.9,63.2,2.7,10.05,25,34,24,35,47.4,31.1,29.3,34.8,25.6,100,100,100,100.1,100,100,100,100,100,Not available,Not available,Not available,561128,479308,81820,70.72771275003208,396873,66.91271583199112,320718,93.07626497188951,76155,0.17536105843942915,984,0.1992455790431205,955,0.0354436568076265,29,3.0009195762820604,16839,3.3348076810735474,15984,1.0449767782938157,855,Not available,Not available,Not available,561128,479308,81820,52.622218103534316,295278,47.687082210186354,228568,81.53263260816426,66710,11.600205300751345,65092,6.303253857644771,30212,42.63016377413835,34880,27.849973624556252,156274,26.646123160890284,127717,34.90222439501344,28557,1.43,1.22,2.65,61.58,60.32,68.98,0.61,0.29,2.5
